INSEE_COM;Annee;Nb_mutations;NbMaisons;NbApparts;propmaison;propappart;PrixMoyen;Prixm2Moyen;SurfaceMoy
35245;2023;47;39;8;82.9787234042553;17.0212765957447;222666.85106383;2468.34042553192;92.1489361702128
35246;2023;11;11;0;100;0;203855.454545455;1936.27272727273;104.272727272727
35247;2023;24;17;7;70.8333333333333;29.1666666666667;115795.416666667;1692.75;71.5
35248;2023;9;9;0;100;0;88444.4444444444;1169.66666666667;80.3333333333333
35249;2023;18;18;0;100;0;148034.388888889;1551;94.1111111111111
35250;2023;38;32;6;84.2105263157895;15.7894736842105;232367.921052632;2553.47368421053;93.1315789473684
35251;2023;42;31;11;73.8095238095238;26.1904761904762;254439.738095238;2642.95238095238;97.6428571428571
35252;2023;8;8;0;100;0;195199.375;1930.25;106.75
35253;2023;32;28;4;87.5;12.5;224039.1875;2287.125;99.96875
35255;2023;9;9;0;100;0;272466.666666667;3209;90.2222222222222
35256;2023;48;38;10;79.1666666666667;20.8333333333333;627476.9375;6226.33333333333;101.375
35257;2023;31;29;2;93.5483870967742;6.45161290322581;191358.064516129;1909.03225806452;100.870967741935
35259;2023;9;9;0;100;0;176353.222222222;2144.66666666667;93
35260;2023;14;14;0;100;0;144176.642857143;1716.5;88.4285714285714
35261;2023;2;2;0;100;0;122050;1441.5;118
35262;2023;6;6;0;100;0;191333.333333333;1809.16666666667;105.5
35263;2023;31;30;1;96.7741935483871;3.2258064516129;436768.064516129;3894.48387096774;108.193548387097
35264;2023;14;13;1;92.8571428571429;7.14285714285714;287735.714285714;2274.64285714286;137
35265;2023;27;21;6;77.7777777777778;22.2222222222222;192309.814814815;2296.33333333333;85.7037037037037
35266;2023;41;26;15;63.4146341463415;36.5853658536585;269035.975609756;2868.0243902439;96.8780487804878
35268;2023;7;7;0;100;0;173714.285714286;1224.14285714286;140.285714285714
35271;2023;30;30;0;100;0;128135.633333333;1561.56666666667;95.4666666666667
35272;2023;10;10;0;100;0;214930;1921.7;117
35273;2023;26;26;0;100;0;192172.807692308;1840.57692307692;111.076923076923
35274;2023;12;11;1;91.6666666666667;8.33333333333333;226179.166666667;2328.08333333333;99
35275;2023;48;35;13;72.9166666666667;27.0833333333333;261270.333333333;3001.3125;90.0208333333333
35276;2023;7;7;0;100;0;205021.571428571;2202.85714285714;91.1428571428571
35277;2023;7;7;0;100;0;126472.857142857;1248.14285714286;103.857142857143
35278;2023;121;52;69;42.9752066115703;57.0247933884297;391106.512396694;3910.99173553719;98.5371900826446
